,0,1,2,3,4,5,6,7,8,9
0,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.6470588235294118,0.8333333333333334,0.7142857142857143,0.5238095238095238
1,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.7647058823529411,0.9166666666666666,0.7857142857142857,0.7261904761904762
2,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.5882352941176471,0.8181818181818182,0.6428571428571429,0.48809523809523814
3,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.5882352941176471,0.8181818181818182,0.6428571428571429,0.48809523809523814
4,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.5882352941176471,0.8181818181818182,0.6428571428571429,0.48809523809523814
5,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.8823529411764706,0.9285714285714286,0.9285714285714286,0.7976190476190477
6,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.5882352941176471,0.7692307692307693,0.7142857142857143,0.35714285714285715
7,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.5294117647058824,0.8,0.5714285714285714,0.45238095238095233
8,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8461538461538461,0.9230769230769231
9,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.9411764705882353,1.0,0.9230769230769231,0.9615384615384616
10,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.8235294117647058,1.0,0.7692307692307693,0.8846153846153846
11,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8235294117647058,0.9166666666666666,0.8461538461538461,0.7980769230769231
12,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8461538461538461,0.9230769230769231
13,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.7647058823529411,0.9090909090909091,0.7692307692307693,0.7596153846153846
14,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.8235294117647058,1.0,0.7692307692307693,0.8846153846153846
15,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6153846153846154,0.8076923076923077
16,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7058823529411765,0.8461538461538461,0.7857142857142857,0.5595238095238095
17,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.7647058823529411,0.8125,0.9285714285714286,0.4642857142857143
18,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.8235294117647058,0.9230769230769231,0.8571428571428571,0.7619047619047619
19,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8235294117647058,0.8666666666666667,0.9285714285714286,0.6309523809523809
20,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7647058823529411,0.8571428571428571,0.8571428571428571,0.5952380952380952
21,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.7058823529411765,0.8,0.8571428571428571,0.42857142857142855
22,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.7647058823529411,0.8125,0.9285714285714286,0.4642857142857143
23,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.6470588235294118,0.9,0.6428571428571429,0.6547619047619048
24,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7647058823529411,0.8,0.9230769230769231,0.5865384615384616
25,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.8823529411764706,0.8666666666666667,1.0,0.75
26,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.7058823529411765,0.8333333333333334,0.7692307692307693,0.6346153846153846
27,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8823529411764706,0.9230769230769231,0.9230769230769231,0.8365384615384616
28,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7058823529411765,0.7857142857142857,0.8461538461538461,0.5480769230769231
29,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.7058823529411765,0.8333333333333334,0.7692307692307693,0.6346153846153846
30,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.8823529411764706,0.8666666666666667,1.0,0.75
31,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.7647058823529411,0.9090909090909091,0.7692307692307693,0.7596153846153846
32,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7058823529411765,0.8461538461538461,0.7857142857142857,0.5595238095238095
33,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8571428571428571,0.9285714285714286
34,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.6470588235294118,0.9,0.6428571428571429,0.6547619047619048
35,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8235294117647058,0.9230769230769231,0.8571428571428571,0.7619047619047619
36,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.6470588235294118,0.7857142857142857,0.7857142857142857,0.39285714285714285
37,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8571428571428571,0.9285714285714286
38,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.8235294117647058,0.9230769230769231,0.8571428571428571,0.7619047619047619
39,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.5294117647058824,0.875,0.5,0.5833333333333333
40,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.5882352941176471,0.8571428571428571,0.5,0.65
41,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.7058823529411765,0.8181818181818182,0.75,0.675
42,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.5882352941176471,0.7777777777777778,0.5833333333333334,0.5916666666666667
43,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.6470588235294118,0.75,0.75,0.575
44,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.5294117647058824,0.7,0.5833333333333334,0.4916666666666667
45,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.7058823529411765,0.8888888888888888,0.6666666666666666,0.7333333333333334
46,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.6470588235294118,0.75,0.75,0.575
47,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.5294117647058824,0.8333333333333334,0.4166666666666667,0.6083333333333334
48,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8666666666666667,0.9333333333333333
49,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.7647058823529411,0.9230769230769231,0.8,0.65
50,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.6470588235294118,0.9090909090909091,0.6666666666666666,0.5833333333333333
51,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6666666666666666,0.8333333333333333
52,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.8235294117647058,0.9285714285714286,0.8666666666666667,0.6833333333333333
53,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.8823529411764706,0.8823529411764706,1.0,0.5
54,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6666666666666666,0.8333333333333333
55,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.6470588235294118,1.0,0.6,0.8
56,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7647058823529411,1.0,0.7333333333333333,0.8666666666666667
57,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8666666666666667,0.9333333333333333
58,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6666666666666666,0.8333333333333333
59,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8235294117647058,1.0,0.8,0.9
60,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7058823529411765,0.9166666666666666,0.7333333333333333,0.6166666666666667
61,BorderlineSMOTE,DT,minority,20,30,borderline-2,1.0,1.0,1.0,1.0
62,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.8235294117647058,1.0,0.8,0.9
63,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.5294117647058824,1.0,0.4666666666666667,0.7333333333333334
64,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7647058823529411,0.9230769230769231,0.8,0.65
65,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.8235294117647058,0.9285714285714286,0.8666666666666667,0.6833333333333333
66,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.5882352941176471,0.9,0.6,0.55
67,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8235294117647058,1.0,0.8,0.9
68,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.47058823529411764,0.875,0.4666666666666667,0.48333333333333334
69,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.5882352941176471,0.9,0.6,0.55
70,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.7647058823529411,1.0,0.7333333333333333,0.8666666666666667
71,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.4117647058823529,0.8571428571428571,0.4,0.45
72,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6666666666666666,0.8333333333333333
73,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8666666666666667,0.9333333333333333
74,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8666666666666667,0.9333333333333333
75,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8666666666666667,0.9333333333333333
76,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7647058823529411,0.9230769230769231,0.8,0.65
77,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.7647058823529411,1.0,0.7333333333333333,0.8666666666666667
78,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.8823529411764706,1.0,0.8666666666666667,0.9333333333333333
79,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.6470588235294118,1.0,0.6,0.8
80,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7058823529411765,0.8461538461538461,0.7857142857142857,0.5595238095238095
81,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.6470588235294118,0.7857142857142857,0.7857142857142857,0.39285714285714285
82,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.5882352941176471,0.8181818181818182,0.6428571428571429,0.48809523809523814
83,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.7647058823529411,0.8571428571428571,0.8571428571428571,0.5952380952380952
84,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7647058823529411,0.8571428571428571,0.8571428571428571,0.5952380952380952
85,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.7647058823529411,0.8571428571428571,0.8571428571428571,0.5952380952380952
86,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.7058823529411765,0.8461538461538461,0.7857142857142857,0.5595238095238095
87,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.5882352941176471,0.8181818181818182,0.6428571428571429,0.48809523809523814
88,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.6470588235294118,0.7692307692307693,0.7692307692307693,0.5096153846153846
89,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.6470588235294118,0.7692307692307693,0.7692307692307693,0.5096153846153846
90,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.5882352941176471,0.75,0.6923076923076923,0.47115384615384615
91,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.5294117647058824,0.7272727272727273,0.6153846153846154,0.4326923076923077
92,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7058823529411765,0.8333333333333334,0.7692307692307693,0.6346153846153846
93,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.8235294117647058,0.8571428571428571,0.9230769230769231,0.7115384615384616
94,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.5882352941176471,0.75,0.6923076923076923,0.47115384615384615
95,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.5882352941176471,0.875,0.5384615384615384,0.6442307692307692
96,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7058823529411765,0.9090909090909091,0.7142857142857143,0.6904761904761905
97,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.7647058823529411,0.9166666666666666,0.7857142857142857,0.7261904761904762
98,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.6470588235294118,0.9,0.6428571428571429,0.6547619047619048
99,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.5882352941176471,0.8888888888888888,0.5714285714285714,0.6190476190476191
100,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7647058823529411,0.8571428571428571,0.8571428571428571,0.5952380952380952
101,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.6470588235294118,0.8333333333333334,0.7142857142857143,0.5238095238095238
102,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.6470588235294118,1.0,0.5714285714285714,0.7857142857142857
103,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.5294117647058824,0.875,0.5,0.5833333333333333
104,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7647058823529411,1.0,0.75,0.875
105,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.8235294117647058,1.0,0.8125,0.90625
106,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6875,0.84375
107,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.8235294117647058,1.0,0.8125,0.90625
108,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.8823529411764706,1.0,0.875,0.9375
109,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6875,0.84375
110,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.8823529411764706,1.0,0.875,0.9375
111,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.35294117647058826,1.0,0.3125,0.65625
112,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7058823529411765,0.8333333333333334,0.7692307692307693,0.6346153846153846
113,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.6470588235294118,0.7692307692307693,0.7692307692307693,0.5096153846153846
114,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.7647058823529411,0.9090909090909091,0.7692307692307693,0.7596153846153846
115,BorderlineSMOTE,GBC,minority,20,30,borderline-2,0.7647058823529411,0.8461538461538461,0.8461538461538461,0.6730769230769231
116,BorderlineSMOTE,MLP,minority,20,30,borderline-2,0.7058823529411765,0.8333333333333334,0.7692307692307693,0.6346153846153846
117,BorderlineSMOTE,DT,minority,20,30,borderline-2,0.47058823529411764,0.7,0.5384615384615384,0.3942307692307692
118,BorderlineSMOTE,XGB,minority,20,30,borderline-2,0.7647058823529411,0.9090909090909091,0.7692307692307693,0.7596153846153846
119,BorderlineSMOTE,KNN,minority,20,30,borderline-2,0.6470588235294118,1.0,0.5384615384615384,0.7692307692307692
120,BorderlineSMOTE,SVM,minority,20,30,borderline-2,0.7058823529411765,1.0,0.6428571428571429,0.8214285714285714
121,BorderlineSMOTE,RF,minority,20,30,borderline-2,0.8235294117647058,1.0,0.7857142857142857,0.8928571428571428
122,BorderlineSMOTE,LR,minority,20,30,borderline-2,0.7058823529411765,0.9090909090909091,0.7142857142857143,0.6904761904761905
